,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
quedaron,2,27,6,VERB
escurría,1,2,6,NOUN VERB
consejos,,5,6,NOUN
letra,,,6,NOUN
fingió,2,1,6,VERB
hiciera,5,5,6,VERB
inmediatamente,5,,6,ADV
fingía,3,2,6,VERB
asuntos,1,,6,NOUN
conocían,,2,6,VERB
peor,3,2,6,ADV
numerosos,,,6,ADJ
disponía,,3,6,VERB
pulso,,1,6,NOUN
lugares,5,5,6,NOUN
cantidad,2,,6,NOUN
conociera,,1,6,VERB
mostraba,2,1,6,VERB
corredores,1,1,6,NOUN
desconfianza,2,,6,NOUN
mandó,,2,6,VERB
sospecha,,,6,VERB
intentaba,2,,6,VERB
entregar,,3,6,VERB
admiración,2,3,5,NOUN
ven,2,2,5,VERB
breves,2,3,5,ADJ
alcanzó,,4,5,VERB
lado,4,4,5,NOUN
árbol,4,3,5,NOUN
agonía,4,,5,NOUN
últimas,1,3,5,ADJ
vivo,2,4,5,ADJ
interpretar,,,5,VERB
procuraba,1,,5,VERB
testimonio,,2,5,NOUN
defenderse,,,5,VERB
comprendían,,,5,VERB
ciertas,1,,5,DET
disponer,,,5,VERB
fuerzas,3,4,5,NOUN
dirigía,,3,5,VERB
intención,3,,5,NOUN
suscitar,,,5,VERB
admitir,,,5,VERB
beber,1,2,5,VERB
elementos,,,5,NOUN
nivel,,,5,NOUN
devoción,1,,5,NOUN
patrona,,3,5,NOUN
preguntar,1,3,5,VERB
coger,,,5,VERB
proximidad,2,,5,NOUN
ahogó,,,5,VERB
pone,3,2,5,VERB
adivinaba,,2,5,VERB
intentar,,,5,VERB
ignoraba,1,3,5,VERB
trabajo,,2,5,NOUN
quedaría,1,2,5,VERB
obligaciones,,,5,NOUN
partió,,,5,VERB
inclinaba,,3,5,VERB
pudieran,1,,5,AUX
alumnos,1,,5,NOUN
ecos,1,,5,NOUN
catalina,,,5,PROPN
confiar,1,,5,VERB
